# NOTE: 07.12.2015 20:29:47
# Onboard parameters saved by mavparam for (1, 1)
# MAV ID	COMPONENT ID	PARAM NAME	VALUE	(TYPE)
1	1	ATT_ACC_COMP	2	6
1	1	ATT_BIAS_MAX	0.05000000074505806	9
1	1	ATT_EXT_HDG_M	1	6
1	1	ATT_MAG_DECL	8.600000381469727	9
1	1	ATT_MAG_DECL_A	1	6
1	1	ATT_VIBE_THRESH	0.20000000298023224	9
1	1	ATT_W_ACC	0.20000000298023224	9
1	1	ATT_W_EXT_HDG	0.10000000149011612	9
1	1	ATT_W_GYRO_BIAS	0.10000000149011612	9
1	1	ATT_W_MAG	0.10000000149011612	9
1	1	BAT_CAPACITY	-1.0	9
1	1	BAT_C_SCALING	0.012400000356137753	9
1	1	BAT_N_CELLS	4	6
1	1	BAT_V_CHARGED	4.199999809265137	9
1	1	BAT_V_EMPTY	3.4000000953674316	9
1	1	BAT_V_LOAD_DROP	0.07000000029802322	9
1	1	BAT_V_SCALE_IO	10000	6
1	1	BAT_V_SCALING	-1.0	9
1	1	CAL_ACC0_ID	1246218	6
1	1	CAL_ACC0_XOFF	-0.18417930603027344	9
1	1	CAL_ACC0_XSCALE	0.9908656477928162	9
1	1	CAL_ACC0_YOFF	-0.4335813522338867	9
1	1	CAL_ACC0_YSCALE	1.0019398927688599	9
1	1	CAL_ACC0_ZOFF	-0.44000911712646484	9
1	1	CAL_ACC0_ZSCALE	0.9868647456169128	9
1	1	CAL_ACC1_ID	1114634	6
1	1	CAL_ACC1_XOFF	0.7871313095092773	9
1	1	CAL_ACC1_XSCALE	1.045859694480896	9
1	1	CAL_ACC1_YOFF	1.1360430717468262	9
1	1	CAL_ACC1_YSCALE	0.9913656711578369	9
1	1	CAL_ACC1_ZOFF	0.7177619934082031	9
1	1	CAL_ACC1_ZSCALE	1.0461091995239258	9
1	1	CAL_ACC_PRIME	1246218	6
1	1	CAL_BARO_PRIME	0	6
1	1	CAL_GYRO0_ID	2163722	6
1	1	CAL_GYRO0_XOFF	-0.040257297456264496	9
1	1	CAL_GYRO0_XSCALE	1.0	9
1	1	CAL_GYRO0_YOFF	0.08460019528865814	9
1	1	CAL_GYRO0_YSCALE	1.0	9
1	1	CAL_GYRO0_ZOFF	0.0029668083880096674	9
1	1	CAL_GYRO0_ZSCALE	1.0	9
